brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
이디야,이디야커피우아한시티점,이디야커피 전주우아한시티점,전북특별자치도 전주시 덕진구 우아로 32,전북특별자치도 전주시 덕진구 우아동3가 744-1,"카페,디저트>카페",35.8507498,127.156028,https://blog.naver.com/ediya-coffee,확인
이디야,이디야커피 전주효자우전점,이디야커피 전주효자우전점,전북특별자치도 전주시 완산구 우전2길 34,전북특별자치도 전주시 완산구 효자동2가 172-3,"카페,디저트>카페",35.8074388,127.1074781,https://blog.naver.com/ediya-coffee,확인
빽다방,빽다방 전주수병원점,빽다방 전주수병원점,전북특별자치도 전주시 완산구 우전로 212,전북특별자치도 전주시 완산구 효자동2가 1255-1,"카페,디저트>테이크아웃커피",35.8133864,127.1021228,,확인
스타벅스,,스타벅스 전주신시가지점,전북특별자치도 전주시 완산구 우전로 255,전북특별자치도 전주시 완산구 효자동2가 1233-2,"카페,디저트>카페",35.8172923,127.1015865,http://www.starbucks.co.kr/,추가(CSV에 없음)
이디야,,이디야커피 전주KBS점,전북특별자치도 전주시 완산구 우전로 312 대진빌딩,전북특별자치도 전주시 완산구 효자동3가 1643-5 1층 105호,"카페,디저트>카페",35.8223299,127.1021928,https://blog.naver.com/ediya-coffee,추가(CSV에 없음)
빽다방,,빽다방 전주효자기전점,전북특별자치도 전주시 완산구 우전로 339,전북특별자치도 전주시 완산구 효자동3가 1626-10,"카페,디저트>테이크아웃커피",35.8248906,127.1016536,,추가(CSV에 없음)
빽다방,빽다방전주본병원점,빽다방 전주본병원점,전북특별자치도 전주시 완산구 유연로 275,전북특별자치도 전주시 완산구 서신동 855-3 1층 2호,"카페,디저트>테이크아웃커피",35.8255756,127.1155705,,확인
이디야,이디야커피숍서신바구멀점,이디야커피 서신바구멀점,전북특별자치도 전주시 완산구 전룡로 102,전북특별자치도 전주시 완산구 서신동 23-2,"카페,디저트>카페",35.8284585,127.1237207,https://blog.naver.com/ediya-coffee,확인
스타벅스,스타벅스전주경원점,스타벅스 전주경원점,전북특별자치도 전주시 완산구 전주객사4길 44-18,전북특별자치도 전주시 완산구 고사동 142-2,"카페,디저트>카페",35.8197831,127.1444733,http://www.starbucks.co.kr/,확인
메가MGC커피,,메가MGC커피 전주고사객사길점,전북특별자치도 전주시 완산구 전주객사5길 24,전북특별자치도 전주시 완산구 고사동 64-5,"카페,디저트>카페",35.8193002,127.14557,,추가(CSV에 없음)
이디야,이디야 전주고사점,이디야커피 전주고사점,전북특별자치도 전주시 완산구 전주객사5길 32,전북특별자치도 전주시 완산구 고사동 55-6,"카페,디저트>카페",35.8196178,127.1454455,https://blog.naver.com/ediya-coffee,확인
빽다방,,빽다방 전주객사1호점,전북특별자치도 전주시 완산구 전주객사5길 44-6,전북특별자치도 전주시 완산구 고사동 50-6,"카페,디저트>테이크아웃커피",35.8201206,127.1455975,http://paikdabang.com/,추가(CSV에 없음)
